,precision,recall,f1-score,support
0,0.9946236559139785,1.0,0.9973045822102425,740.0
1,1.0,0.971830985915493,0.9857142857142858,142.0
accuracy,0.9954648526077098,0.9954648526077098,0.9954648526077098,0.9954648526077098
macro avg,0.9973118279569892,0.9859154929577465,0.9915094339622641,882.0
weighted avg,0.9954892351205715,0.9954648526077098,0.9954385707562451,882.0
