Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9954648526077098,1.0,0.971830985915493,0.9857142857142858
Extra Trees,0.9954648526077098,1.0,0.971830985915493,0.9857142857142858
Decision Tree,0.9886621315192744,0.9583333333333334,0.971830985915493,0.965034965034965
Gradient Boosting,0.8843537414965986,0.8571428571428571,0.3380281690140845,0.48484848484848486
Logistic Regression,0.8503401360544217,0.7272727272727273,0.11267605633802817,0.1951219512195122
